 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -8.17936185e-11  5.29566205e-13  5.29566205e-01  2.87092373e+01  9.32229422e+01 -5.19076489e-01  1.34797013e+04 
 1.00000000e-02  9.99999989e-03  7.05661683e-13  7.05661683e-01  2.87062376e+01  9.32178362e+01 -5.09076489e-01  1.79255966e+04 
 2.00000000e-02  1.99999999e-02  9.40283479e-13  9.40283479e-01  2.87027770e+01  9.32112397e+01 -4.99076489e-01  2.38199183e+04 
 3.00000000e-02  2.99999998e-02  1.25286685e-12  1.25286685e+00  2.86987850e+01  9.32029258e+01 -4.89076489e-01  3.16276202e+04 
 4.00000000e-02  3.99999997e-02  1.66929233e-12  1.66929233e+00  2.86941806e+01  9.31926337e+01 -4.79076489e-01  4.19602895e+04 
 5.00000000e-02  4.99999997e-02  2.22401843e-12  2.22401843e+00  2.86888706e+01  9.31800638e+01 -4.69076490e-01  5.56214307e+04 
 6.00000000e-02  5.99999995e-02  2.96291765e-12  2.96291765e+00  2.86827477e+01  9.31648720e+01 -4.59076490e-01  7.36653926e+04 
 7.00000000e-02  6.99999994e-02  3.94704615e-12  3.94704615e+00  2.86756889e+01  9.31466642e+01 -4.49076490e-01  9.74739363e+04 
 8.00000000e-02  7.99999992e-02  5.25765259e-12  5.25765259e+00  2.86675525e+01  9.31249885e+01 -4.39076490e-01  1.28855569e+05 
 9.00000000e-02  8.99999989e-02  7.00283029e-12  7.00283029e+00  2.86581765e+01  9.30993281e+01 -4.29076490e-01  1.70174208e+05 
 1.00000000e-01  9.99999986e-02  9.32634703e-12  9.32634703e+00  2.86473746e+01  9.30690923e+01 -4.19076491e-01  2.24515569e+05 
 1.10000000e-01  1.09999998e-01  1.24193582e-11  1.24193582e+01  2.86349340e+01  9.30336076e+01 -4.09076491e-01  2.95901969e+05 
 1.20000000e-01  1.19999997e-01  1.65359331e-11  1.65359331e+01  2.86206111e+01  9.29921071e+01 -3.99076492e-01  3.89569151e+05 
 1.30000000e-01  1.29999997e-01  2.20136203e-11  2.20136203e+01  2.86041278e+01  9.29437200e+01 -3.89076493e-01  5.12322385e+05 
