 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -2.90529321e-11  1.88100872e-13  1.88100872e-01  2.96797197e+01  7.62697990e+01 -5.18092400e-01  2.97807569e+03 
 1.00000000e-02  9.99999996e-03  2.53094537e-13  2.53094537e-01  2.96771591e+01  7.62637481e+01 -5.08092400e-01  4.00025725e+03 
 2.00000000e-02  1.99999999e-02  3.40535778e-13  3.40535778e-01  2.96741903e+01  7.62566512e+01 -4.98092400e-01  5.36917584e+03 
 3.00000000e-02  2.99999999e-02  4.58172299e-13  4.58172299e-01  2.96707486e+01  7.62483428e+01 -4.88092400e-01  7.20078961e+03 
 4.00000000e-02  3.99999999e-02  6.16422952e-13  6.16422952e-01  2.96667588e+01  7.62386315e+01 -4.78092400e-01  9.64918111e+03 
 5.00000000e-02  4.99999999e-02  8.29297014e-13  8.29297014e-01  2.96621343e+01  7.62272964e+01 -4.68092400e-01  1.29188409e+04 
 6.00000000e-02  5.99999998e-02  1.11562891e-12  1.11562891e+00  2.96567748e+01  7.62140819e+01 -4.58092400e-01  1.72808164e+04 
 7.00000000e-02  6.99999998e-02  1.50073614e-12  1.50073614e+00  2.96505643e+01  7.61986936e+01 -4.48092400e-01  2.30939098e+04 
 8.00000000e-02  7.99999997e-02  2.01864460e-12  2.01864460e+00  2.96433689e+01  7.61807917e+01 -4.38092400e-01  3.08324605e+04 
 9.00000000e-02  8.99999996e-02  2.71507432e-12  2.71507432e+00  2.96350340e+01  7.61599850e+01 -4.28092400e-01  4.11226976e+04 
 1.00000000e-01  9.99999994e-02  3.65144353e-12  3.65144353e+00  2.96253814e+01  7.61358232e+01 -4.18092400e-01  5.47902325e+04 
 1.10000000e-01  1.09999999e-01  4.91023531e-12  4.91023531e+00  2.96142054e+01  7.61077890e+01 -4.08092401e-01  7.29219966e+04 
 1.20000000e-01  1.19999999e-01  6.60218599e-12  6.60218599e+00  2.96012696e+01  7.60752890e+01 -3.98092401e-01  9.69468851e+04 
 1.30000000e-01  1.29999999e-01  8.87590647e-12  8.87590647e+00  2.95863020e+01  7.60376437e+01 -3.88092401e-01  1.28740562e+05 
 1.40000000e-01  1.39999998e-01  1.19307489e-11  1.19307489e+01  2.95689903e+01  7.59940765e+01 -3.78092402e-01  1.70761413e+05 
 1.50000000e-01  1.49999998e-01  1.60339962e-11  1.60339962e+01  2.95489765e+01  7.59437025e+01 -3.68092403e-01  2.26226554e+05 
 1.60000000e-01  1.59999997e-01  2.15438009e-11  2.15438009e+01  2.95258512e+01  7.58855157e+01 -3.58092404e-01  2.99339197e+05 
 1.70000000e-01  1.69999996e-01  2.89397551e-11  2.89397551e+01  2.94991469e+01  7.58183773e+01 -3.48092405e-01  3.95581689e+05 
 1.80000000e-01  1.79999994e-01  3.88635681e-11  3.88635681e+01  2.94683316e+01  7.57410029e+01 -3.38092407e-01  5.22092199e+05 
 1.90000000e-01  1.89999992e-01  5.21731006e-11  5.21731006e+01  2.94328012e+01  7.56519512e+01 -3.28092409e-01  6.88147561e+05 
 2.00000000e-01  1.99999989e-01  7.00139930e-11  7.00139930e+01  2.93918729e+01  7.55496147e+01 -3.18092413e-01  9.05780192e+05 
 2.10000000e-01  2.09999985e-01  9.39143995e-11  9.39143995e+01  2.93447778e+01  7.54322133e+01 -3.08092417e-01  1.19056342e+06 
 2.20000000e-01  2.19999981e-01  1.25909947e-10  1.25909947e+02  2.92906547e+01  7.52977931e+01 -2.98092423e-01  1.56260706e+06 
 2.30000000e-01  2.29999974e-01  1.68708063e-10  1.68708063e+02  2.92285445e+01  7.51442324e+01 -2.88092431e-01  2.04781353e+06 
 2.40000000e-01  2.39999965e-01  2.25903322e-10  2.25903322e+02  2.91573869e+01  7.49692587e+01 -2.78092442e-01  2.67945416e+06 
 2.50000000e-01  2.49999953e-01  3.02258542e-10  3.02258542e+02  2.90760198e+01  7.47704800e+01 -2.68092456e-01  3.50013491e+06 
 2.60000000e-01  2.59999938e-01  4.04070070e-10  4.04070070e+02  2.89831825e+01  7.45454349e+01 -2.58092475e-01  4.56423066e+06 
 2.70000000e-01  2.69999917e-01  5.39640056e-10  5.39640056e+02  2.88775248e+01  7.42916678e+01 -2.48092500e-01  5.94087564e+06 
 2.80000000e-01  2.79999889e-01  7.19883629e-10  7.19883629e+02  2.87576224e+01  7.40068359e+01 -2.38092534e-01  7.71760404e+06 
