 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -3.50599098e-11  2.26992566e-13  2.26992566e-01  2.88169904e+01  9.20380532e+01 -5.45177927e-01  5.81970726e+03 
 1.00000000e-02  9.99999995e-03  3.02801404e-13  3.02801404e-01  2.88149390e+01  9.20357873e+01 -5.35177927e-01  7.76111630e+03 
 2.00000000e-02  1.99999999e-02  4.03919254e-13  4.03919254e-01  2.88125707e+01  9.20325123e+01 -5.25177927e-01  1.03432043e+04 
 3.00000000e-02  2.99999999e-02  5.38790792e-13  5.38790792e-01  2.88098368e+01  9.20280732e+01 -5.15177927e-01  1.37746578e+04 
 4.00000000e-02  3.99999999e-02  7.18675776e-13  7.18675776e-01  2.88066809e+01  9.20222915e+01 -5.05177927e-01  1.83310753e+04 
 5.00000000e-02  4.99999999e-02  9.58586064e-13  9.58586064e-01  2.88030384e+01  9.20149618e+01 -4.95177927e-01  2.43760192e+04 
 6.00000000e-02  5.99999998e-02  1.27853378e-12  1.27853378e+00  2.87988346e+01  9.20058475e+01 -4.85177927e-01  3.23885442e+04 
 7.00000000e-02  6.99999997e-02  1.70519351e-12  1.70519351e+00  2.87939836e+01  9.19946769e+01 -4.75177927e-01  4.29991428e+04 
 8.00000000e-02  7.99999996e-02  2.27411534e-12  2.27411534e+00  2.87883866e+01  9.19811375e+01 -4.65177927e-01  5.70366117e+04 
 9.00000000e-02  8.99999995e-02  3.03267013e-12  3.03267013e+00  2.87819299e+01  9.19648708e+01 -4.55177927e-01  7.55890667e+04 
 1.00000000e-01  9.99999994e-02  4.04396807e-12  4.04396807e+00  2.87744827e+01  9.19454652e+01 -4.45177927e-01  1.00083255e+05 
 1.10000000e-01  1.09999999e-01  5.39206973e-12  5.39206973e+00  2.87658950e+01  9.19224496e+01 -4.35177928e-01  1.32387491e+05 
 1.20000000e-01  1.19999999e-01  7.18891254e-12  7.18891254e+00  2.87559944e+01  9.18952844e+01 -4.25177928e-01  1.74945035e+05 
