 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -2.80340273e-11  1.81504055e-13  1.81504055e-01  3.03724793e+01  7.53334402e+01 -5.55937944e-01  9.40870817e+03 
 1.00000000e-02  9.99999996e-03  2.45917652e-13  2.45917652e-01  3.03712372e+01  7.53494269e+01 -5.45937944e-01  1.27524670e+04 
 2.00000000e-02  1.99999999e-02  3.33186389e-13  3.33186389e-01  3.03697919e+01  7.53649209e+01 -5.35937945e-01  1.72749717e+04 
 3.00000000e-02  2.99999999e-02  4.51417116e-13  4.51417116e-01  3.03681100e+01  7.53798400e+01 -5.25937945e-01  2.33876477e+04 
 4.00000000e-02  3.99999999e-02  6.11590746e-13  6.11590746e-01  3.03661530e+01  7.53940886e+01 -5.15937945e-01  3.16437859e+04 
 5.00000000e-02  4.99999999e-02  8.28580316e-13  8.28580316e-01  3.03638760e+01  7.54075555e+01 -5.05937945e-01  4.27867394e+04 
 6.00000000e-02  5.99999998e-02  1.12252919e-12  1.12252919e+00  3.03612269e+01  7.54201117e+01 -4.95937945e-01  5.78142052e+04 
 7.00000000e-02  6.99999998e-02  1.52071647e-12  1.52071647e+00  3.03581450e+01  7.54316071e+01 -4.85937945e-01  7.80638443e+04 
 8.00000000e-02  7.99999997e-02  2.06008153e-12  2.06008153e+00  3.03545600e+01  7.54418677e+01 -4.75937945e-01  1.05327171e+05 
 9.00000000e-02  8.99999996e-02  2.79063964e-12  2.79063964e+00  3.03503902e+01  7.54506913e+01 -4.65937945e-01  1.42000835e+05 
 1.00000000e-01  9.99999994e-02  3.78010236e-12  3.78010236e+00  3.03455407e+01  7.54578436e+01 -4.55937945e-01  1.91287287e+05 
 1.10000000e-01  1.09999999e-01  5.12012576e-12  5.12012576e+00  3.03399017e+01  7.54630529e+01 -4.45937945e-01  2.57460565e+05 
 1.20000000e-01  1.19999999e-01  6.93475724e-12  6.93475724e+00  3.03333454e+01  7.54660047e+01 -4.35937946e-01  3.46217814e+05 
 1.30000000e-01  1.29999999e-01  9.39185042e-12  9.39185042e+00  3.03257243e+01  7.54663348e+01 -4.25937946e-01  4.65143490e+05 
 1.40000000e-01  1.39999998e-01  1.27184842e-11  1.27184842e+01  3.03168672e+01  7.54636225e+01 -4.15937947e-01  6.24321424e+05 
 1.50000000e-01  1.49999997e-01  1.72217799e-11  1.72217799e+01  3.03065763e+01  7.54573820e+01 -4.05937948e-01  8.37140559e+05 
 1.60000000e-01  1.59999996e-01  2.33169907e-11  2.33169907e+01  3.02946228e+01  7.54470533e+01 -3.95937949e-01  1.12135391e+06 
 1.70000000e-01  1.69999995e-01  3.15653757e-11  3.15653757e+01  3.02807429e+01  7.54319922e+01 -3.85937950e-01  1.50046794e+06 
 1.80000000e-01  1.79999993e-01  4.27252304e-11  4.27252304e+01  3.02646324e+01  7.54114586e+01 -3.75937952e-01  2.00556222e+06 
 1.90000000e-01  1.89999991e-01  5.78205767e-11  5.78205767e+01  3.02459413e+01  7.53846047e+01 -3.65937955e-01  2.67766804e+06 
 2.00000000e-01  1.99999988e-01  7.82335280e-11  7.82335280e+01  3.02242674e+01  7.53504621e+01 -3.55937959e-01  3.57087143e+06 
 2.10000000e-01  2.09999984e-01  1.05828336e-10  1.05828336e+02  3.01991501e+01  7.53079279e+01 -3.45937964e-01  4.75635227e+06 
 2.20000000e-01  2.19999978e-01  1.43117748e-10  1.43117748e+02  3.01700629e+01  7.52557514e+01 -3.35937971e-01  6.32762898e+06 
 2.30000000e-01  2.29999970e-01  1.93485743e-10  1.93485743e+02  3.01364058e+01  7.51925211e+01 -3.25937980e-01  8.40735053e+06 
 2.40000000e-01  2.39999960e-01  2.61485187e-10  2.61485187e+02  3.00974975e+01  7.51166527e+01 -3.15937993e-01  1.11560656e+07 
 2.50000000e-01  2.49999945e-01  3.53234731e-10  3.53234731e+02  3.00525683e+01  7.50263807e+01 -3.05938010e-01  1.47835058e+07 
 2.60000000e-01  2.59999926e-01  4.76946731e-10  4.76946731e+02  3.00007521e+01  7.49197539e+01 -2.95938033e-01  1.95630477e+07 
 2.70000000e-01  2.69999901e-01  6.43627404e-10  6.43627404e+02  2.99410813e+01  7.47946383e+01 -2.85938063e-01  2.58501668e+07 
 2.80000000e-01  2.79999866e-01  8.68002365e-10  8.68002365e+02  2.98724819e+01  7.46487306e+01 -2.75938105e-01  3.41058682e+07 
 2.90000000e-01  2.89999819e-01  1.16973550e-09  1.16973550e+03  2.97937728e+01  7.44795857e+01 -2.65938161e-01  4.49262637e+07 
 3.00000000e-01  2.99999757e-01  1.57502731e-09  1.57502731e+03  2.97036687e+01  7.42846635e+01 -2.55938236e-01  5.90796650e+07 
 3.10000000e-01  3.09999673e-01  2.11870079e-09  2.11870079e+03  2.96007893e+01  7.40614024e+01 -2.45938336e-01  7.75527628e+07 
 3.20000000e-01  3.19999560e-01  2.84690879e-09  2.84690879e+03  2.94836760e+01  7.38073253e+01 -2.35938471e-01  1.01607641e+08 
 3.30000000e-01  3.29999410e-01  3.82062699e-09  3.82062699e+03  2.93508193e+01  7.35201864e+01 -2.25938651e-01  1.32851537e+08 
 3.40000000e-01  3.39999209e-01  5.12013036e-09  5.12013036e+03  2.92006979e+01  7.31981675e+01 -2.15938891e-01  1.73321349e+08 
 3.50000000e-01  3.49998942e-01  6.85068866e-09  6.85068866e+03  2.90318324e+01  7.28401309e+01 -2.05939211e-01  2.25584964e+08 
 3.60000000e-01  3.59998587e-01  9.14975650e-09  9.14975650e+03  2.88428553e+01  7.24459330e+01 -1.95939637e-01  2.92861466e+08 
 3.70000000e-01  3.69998116e-01  1.21959761e-08  1.21959761e+04  2.86325957e+01  7.20167987e+01 -1.85940200e-01  3.79162320e+08 
 3.80000000e-01  3.79997495e-01  1.62203547e-08  1.62203547e+04  2.84001785e+01  7.15557486e+01 -1.75940944e-01  4.89455761e+08 
 3.90000000e-01  3.89996676e-01  2.15200278e-08  2.15200278e+04  2.81451299e+01  7.10680569e+01 -1.65941925e-01  6.29856952e+08 
 4.00000000e-01  3.99995602e-01  2.84750685e-08  2.84750685e+04  2.78674800e+01  7.05617036e+01 -1.55943211e-01  8.07847287e+08 
 4.10000000e-01  4.09994197e-01  3.75688716e-08  3.75688716e+04  2.75678450e+01  7.00477627e+01 -1.45944893e-01  1.03252734e+09 
 4.20000000e-01  4.19992368e-01  4.94127127e-08  4.94127127e+04  2.72474669e+01  6.95406463e+01 -1.35947083e-01  1.31490932e+09 
 4.30000000e-01  4.29989995e-01  6.47751738e-08  6.47751738e+04  2.69081818e+01  6.90581047e+01 -1.25949925e-01  1.66825528e+09 
 4.40000000e-01  4.39986931e-01  8.46172115e-08  8.46172115e+04  2.65522926e+01  6.86208720e+01 -1.15953595e-01  2.10846555e+09 
 4.50000000e-01  4.49982989e-01  1.10133676e-07  1.10133676e+05  2.61823208e+01  6.82518499e+01 -1.05958314e-01  2.65451369e+09 
 4.60000000e-01  4.59977944e-01  1.42801986e-07  1.42801986e+05  2.58006385e+01  6.79747582e+01 -9.59643561e-02  3.32890804e+09 
 4.70000000e-01  4.69971513e-01  1.84438264e-07  1.84438264e+05  2.54090044e+01  6.78122382e+01 -8.59720568e-02  4.15813042e+09 
 4.80000000e-01  4.79963354e-01  2.37260384e-07  2.37260384e+05  2.50080674e+01  6.77834969e+01 -7.59818264e-02  5.17296144e+09 
 4.90000000e-01  4.89953053e-01  3.03955868e-07  3.03955868e+05  2.45969399e+01  6.79016928e+01 -6.59941619e-02  6.40855364e+09 
 5.00000000e-01  4.99940110e-01  3.87750347e-07  3.87750347e+05  2.41729612e+01  6.81713832e+01 -5.60096598e-02  7.90407311e+09 
 5.10000000e-01  5.09923936e-01  4.92469556e-07  4.92469556e+05  2.37317641e+01  6.85864351e+01 -4.60290278e-02  9.70171768e+09 
 5.20000000e-01  5.19903839e-01  6.22584965e-07  6.22584965e+05  2.32677021e+01  6.91288195e+01 -3.60530927e-02  1.18449584e+10 
 5.30000000e-01  5.29879027e-01  7.83231129e-07  7.83231129e+05  2.27746129e+01  6.97686309e+01 -2.60828043e-02  1.43759564e+10 
 5.40000000e-01  5.39848607e-01  9.80182498e-07  9.80182498e+05  2.22467933e+01  7.04655042e+01 -1.61192304e-02  1.73322721e+10 
 5.50000000e-01  5.49811600e-01  1.21977972e-06  1.21977972e+06  2.16799933e+01  7.11713664e+01 -6.16354363e-03  2.07431785e+10 
 5.60000000e-01  5.59766960e-01  1.50880066e-06  1.50880066e+06  2.10722220e+01  7.18342100e+01  3.78300260e-03  2.46260592e+10 
 5.70000000e-01  5.69713599e-01  1.85427886e-06  1.85427886e+06  2.04242047e+01  7.24023810e+01  1.37191076e-02  2.89834567e+10 
 5.80000000e-01  5.79650427e-01  2.26328045e-06  2.26328045e+06  1.97394241e+01  7.28287781e+01  2.36434648e-02  3.38012942e+10 
 5.90000000e-01  5.89576385e-01  2.74265820e-06  2.74265820e+06  1.90237771e+01  7.30743991e+01  3.35548072e-02  3.90486273e+10 
 6.00000000e-01  5.99490486e-01  3.29880556e-06  3.29880556e+06  1.82849581e+01  7.31108131e+01  4.34519527e-02  4.46790186e+10 
 6.10000000e-01  6.09391848e-01  3.93743424e-06  3.93743424e+06  1.75317092e+01  7.29213572e+01  5.33338455e-02  5.06333528e+10 
 6.20000000e-01  6.19279720e-01  4.66339555e-06  4.66339555e+06  1.67730740e+01  7.25010789e+01  6.31995891e-02  5.68436761e+10 
 6.30000000e-01  6.29153506e-01  5.48055875e-06  5.48055875e+06  1.60177550e+01  7.18556307e+01  7.30484687e-02  6.32375227e+10 
 6.40000000e-01  6.39012768e-01  6.39175207e-06  6.39175207e+06  1.52736299e+01  7.09994332e+01  8.28799622e-02  6.97421803e+10 
 6.50000000e-01  6.48857231e-01  7.39876393e-06  7.39876393e+06  1.45474424e+01  6.99534540e+01  9.26937399e-02  7.62884380e+10 
 6.60000000e-01  6.58686771e-01  8.50239616e-06  8.50239616e+06  1.38446532e+01  6.87429196e+01  1.02489655e-01  8.28135172e+10 
 6.70000000e-01  6.68501401e-01  9.70255679e-06  9.70255679e+06  1.31694196e+01  6.73952006e+01  1.12267725e-01  8.92630480e+10 
 6.80000000e-01  6.78301256e-01  1.09983790e-05  1.09983790e+07  1.25246691e+01  6.59380258e+01  1.22028112e-01  9.55921060e+10 
 6.90000000e-01  6.88086569e-01  1.23883528e-05  1.23883528e+07  1.19122306e+01  6.43980967e+01  1.31771097e-01  1.01765429e+11 
 7.00000000e-01  6.97857652e-01  1.38704592e-05  1.38704592e+07  1.13329958e+01  6.28001096e+01  1.41497054e-01  1.07756989e+11 
 7.10000000e-01  7.07614875e-01  1.54422970e-05  1.54422970e+07  1.07870889e+01  6.11661467e+01  1.51206429e-01  1.13549123e+11 
 7.20000000e-01  7.17358652e-01  1.71011978e-05  1.71011978e+07  1.02740300e+01  5.95153754e+01  1.60899718e-01  1.19131398e+11 
 7.30000000e-01  7.27089419e-01  1.88443252e-05  1.88443252e+07  9.79288265e+00  5.78639855e+01  1.70577446e-01  1.24499368e+11 
 7.40000000e-01  7.36807628e-01  2.06687567e-05  2.06687567e+07  9.34238240e+00  5.62252959e+01  1.80240155e-01  1.29653340e+11 
 7.50000000e-01  7.46513734e-01  2.25715500e-05  2.25715500e+07  8.92104398e+00  5.46099720e+01  1.89888391e-01  1.34597230e+11 
