 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 0.00000000e+00 -3.05616064e-11  1.97868663e-13  1.97868663e-01  3.14471553e+01  9.75114724e+01 -5.17085390e-01  5.65185392e+03 
 1.00000000e-02  9.99999996e-03  2.70984969e-13  2.70984969e-01  3.14447552e+01  9.75093466e+01 -5.07085390e-01  7.73179621e+03 
 2.00000000e-02  1.99999999e-02  3.71109525e-13  3.71109525e-01  3.14419477e+01  9.75059605e+01 -4.97085390e-01  1.05691164e+04 
 3.00000000e-02  2.99999999e-02  5.08213035e-13  5.08213035e-01  3.14386637e+01  9.75011013e+01 -4.87085390e-01  1.44360600e+04 
 4.00000000e-02  3.99999999e-02  6.95943622e-13  6.95943622e-01  3.14348229e+01  9.74945203e+01 -4.77085390e-01  1.97012065e+04 
 5.00000000e-02  4.99999999e-02  9.52981041e-13  9.52981041e-01  3.14303313e+01  9.74859279e+01 -4.67085390e-01  2.68629154e+04 
 6.00000000e-02  5.99999998e-02  1.30488833e-12  1.30488833e+00  3.14250791e+01  9.74749862e+01 -4.57085390e-01  3.65941251e+04 
 7.00000000e-02  6.99999997e-02  1.78664284e-12  1.78664284e+00  3.14189386e+01  9.74613015e+01 -4.47085390e-01  4.98022550e+04 
 8.00000000e-02  7.99999996e-02  2.44609475e-12  2.44609475e+00  3.14117606e+01  9.74444158e+01 -4.37085390e-01  6.77091645e+04 
 9.00000000e-02  8.99999995e-02  3.34869098e-12  3.34869098e+00  3.14033714e+01  9.74237961e+01 -4.27085390e-01  9.19576947e+04 
 1.00000000e-01  9.99999993e-02  4.58392438e-12  4.58392438e+00  3.13935689e+01  9.73988236e+01 -4.17085390e-01  1.24753372e+05 
 1.10000000e-01  1.09999999e-01  6.27413350e-12  6.27413350e+00  3.13821181e+01  9.73687801e+01 -4.07085391e-01  1.69052519e+05 
 1.20000000e-01  1.19999999e-01  8.58650186e-12  8.58650186e+00  3.13687457e+01  9.73328337e+01 -3.97085391e-01  2.28811501e+05 
 1.30000000e-01  1.29999998e-01  1.17494075e-11  1.17494075e+01  3.13531349e+01  9.72900226e+01 -3.87085392e-01  3.09316281e+05 
 1.40000000e-01  1.39999998e-01  1.60746805e-11  1.60746805e+01  3.13349185e+01  9.72392368e+01 -3.77085393e-01  4.17617268e+05 
 1.50000000e-01  1.49999997e-01  2.19878720e-11  2.19878720e+01  3.13136721e+01  9.71791989e+01 -3.67085394e-01  5.63101786e+05 
 1.60000000e-01  1.59999995e-01  3.00693693e-11  3.00693693e+01  3.12889054e+01  9.71084431e+01 -3.57085395e-01  7.58245901e+05 
 1.70000000e-01  1.69999994e-01  4.11101651e-11  4.11101651e+01  3.12600544e+01  9.70252931e+01 -3.47085397e-01  1.01959924e+06 
 1.80000000e-01  1.79999991e-01  5.61873808e-11  5.61873808e+01  3.12264712e+01  9.69278408e+01 -3.37085400e-01  1.36907121e+06 
 1.90000000e-01  1.89999988e-01  7.67663500e-11  7.67663500e+01  3.11874146e+01  9.68139246e+01 -3.27085404e-01  1.83560565e+06 
 2.00000000e-01  1.99999984e-01  1.04838298e-10  1.04838298e+02  3.11420397e+01  9.66811112e+01 -3.17085409e-01  2.45735306e+06 
 2.10000000e-01  2.09999978e-01  1.43105561e-10  1.43105561e+02  3.10893883e+01  9.65266822e+01 -3.07085416e-01  3.28447705e+06 
 2.20000000e-01  2.19999970e-01  1.95230035e-10  1.95230035e+02  3.10283797e+01  9.63476285e+01 -2.97085426e-01  4.38276306e+06 
 2.30000000e-01  2.29999959e-01  2.66165298e-10  2.66165298e+02  3.09578032e+01  9.61406576e+01 -2.87085439e-01  5.83823390e+06 
 2.40000000e-01  2.39999944e-01  3.62598892e-10  3.62598892e+02  3.08763136e+01  9.59022189e+01 -2.77085457e-01  7.76301684e+06 
 2.50000000e-01  2.49999924e-01  4.93538650e-10  4.93538650e+02  3.07824309e+01  9.56285545e+01 -2.67085481e-01  1.03027490e+07 
 2.60000000e-01  2.59999896e-01  6.71086066e-10  6.71086066e+02  3.06745469e+01  9.53157850e+01 -2.57085514e-01  1.36458493e+07 
 2.70000000e-01  2.69999859e-01  9.11450488e-10  9.11450488e+02  3.05509398e+01  9.49600404e+01 -2.47085558e-01  1.80350211e+07 
 2.80000000e-01  2.79999809e-01  1.23627051e-09  1.23627051e+03  3.04098006e+01  9.45576491e+01 -2.37085618e-01  2.37813759e+07 
 2.90000000e-01  2.89999741e-01  1.67432313e-09  1.67432313e+03  3.02492750e+01  9.41053976e+01 -2.27085699e-01  3.12815763e+07 
 3.00000000e-01  2.99999650e-01  2.26371674e-09  2.26371674e+03  3.00675216e+01  9.36008754e+01 -2.17085808e-01  4.10383881e+07 
 3.10000000e-01  3.09999528e-01  3.05468033e-09  3.05468033e+03  2.98627913e+01  9.30429130e+01 -2.07085954e-01  5.36849942e+07 
 3.20000000e-01  3.19999365e-01  4.11307783e-09  4.11307783e+03  2.96335284e+01  9.24321191e+01 -1.97086150e-01  7.00133867e+07 
 3.30000000e-01  3.29999147e-01  5.52479272e-09  5.52479272e+03  2.93784909e+01  9.17715099e+01 -1.87086411e-01  9.10071155e+07 
