 v-sweep         vgs             id              id_w            gm_id           gm_gds          vov             gm_cgg         
 4.20000000e-01  4.19985573e-01  9.34072226e-08  9.34072226e+04  2.52676114e+01  1.65851431e+01 -1.62317355e-01  5.14523809e+09 
 4.30000000e-01  4.29981449e-01  1.20107299e-07  1.20107299e+05  2.50398620e+01  1.65761860e+01 -1.52322404e-01  6.43832368e+09 
 4.40000000e-01  4.39976202e-01  1.54075163e-07  1.54075163e+05  2.48022354e+01  1.65679834e+01 -1.42328827e-01  8.03530592e+09 
 4.50000000e-01  4.49969547e-01  1.97163908e-07  1.97163908e+05  2.45564127e+01  1.65610682e+01 -1.32336975e-01  1.00021489e+10 
 4.60000000e-01  4.59961130e-01  2.51661940e-07  2.51661940e+05  2.43040349e+01  1.65560136e+01 -1.22347280e-01  1.24179478e+10 
 4.70000000e-01  4.69950515e-01  3.20385196e-07  3.20385196e+05  2.40464150e+01  1.65533873e+01 -1.12360275e-01  1.53771375e+10 
 4.80000000e-01  4.79937170e-01  4.06784931e-07  4.06784931e+05  2.37841871e+01  1.65536868e+01 -1.02376612e-01  1.89917094e+10 
 4.90000000e-01  4.89920445e-01  5.15070760e-07  5.15070760e+05  2.35169338e+01  1.65572624e+01 -9.23970876e-02  2.33931122e+10 
 5.00000000e-01  4.99899551e-01  6.50346121e-07  6.50346121e+05  2.32428568e+01  1.65642334e+01 -8.24226667e-02  2.87333225e+10 
 5.10000000e-01  5.09873541e-01  8.18749537e-07  8.18749537e+05  2.29585729e+01  1.65744144e+01 -7.24545100e-02  3.51843865e+10 
 5.20000000e-01  5.19841285e-01  1.02759001e-06  1.02759001e+06  2.26591194e+01  1.65872643e+01 -6.24939993e-02  4.29356045e+10 
 5.30000000e-01  5.29801456e-01  1.28545915e-06  1.28545915e+06  2.23382277e+01  1.66018732e+01 -5.25427592e-02  5.21875462e+10 
 5.40000000e-01  5.39752519e-01  1.60229723e-06  1.60229723e+06  2.19888775e+01  1.66169941e+01 -4.26026692e-02  6.31423203e+10 
 5.50000000e-01  5.49692731e-01  1.98938735e-06  1.98938735e+06  2.16040734e+01  1.66311172e+01 -3.26758627e-02  7.59900348e+10 
 5.60000000e-01  5.59620159e-01  2.45925222e-06  2.45925222e+06  2.11777284e+01  1.66425741e+01 -2.27647072e-02  9.08921241e+10 
